0,1,2,3,4,5,6,7,8,9,10,11
35.872253,35.917404,35.938675,35.91756,35.95227,35.96018,35.961502,35.973793,35.958046,36.03399,36.051037,36.066998
31.755978,32.089092,32.21541,32.298058,32.350822,32.412674,32.537945,32.59265,32.62413,32.677975,32.733177,32.909016
33.67595,33.718887,33.75268,33.768383,33.772247,33.765343,33.751385,33.736473,33.724064,33.70883,33.70893,33.697693
29.536654,29.650047,29.720774,29.826818,29.93482,29.952276,29.965797,29.967108,29.974873,29.989729,30.00307,30.012602
30.395052,30.484266,30.53821,30.568298,30.594275,30.63276,30.758236,30.92986,31.059786,31.142555,31.164574,31.142982
22.133423,22.139187,22.1952,22.325539,22.392479,22.408861,22.415062,22.401701,22.389292,22.38869,22.376644,22.370514
23.172731,23.335772,23.356627,23.413893,23.481104,23.63694,23.888885,24.138424,24.236277,24.256327,24.257261,24.266052
-7.4348984,-7.3959656,-7.2885127,-7.0886083,-6.9738913,-6.8810043,-6.748581,-6.6355944,-6.5790854,-6.5566273,-6.561654,-6.561915
34.371277,34.380764,34.45894,34.503006,34.52694,34.523193,34.51067,34.492977,34.47395,34.447784,34.43515,34.435658
28.925426,28.888947,28.900917,28.91293,28.914906,28.910803,28.966131,28.984758,29.077087,29.221983,29.235657,29.271273
36.574577,36.57968,36.600258,36.720352,36.836014,36.87203,36.86549,36.855927,36.847607,36.831985,36.81887,36.808723
23.992962,24.039984,24.150517,24.26954,24.445232,24.617271,24.682749,24.726252,24.726019,24.715872,24.717987,24.72315
13.211049,13.220215,13.221996,13.228951,13.270409,13.378091,13.522282,13.606977,13.6339855,13.577618,13.5801325,13.568291
11.633912,11.901285,12.054581,12.171036,12.375436,12.5123625,12.4971285,12.510884,12.552154,12.525369,12.568892,12.553139
15.019115,15.160929,15.370071,15.623534,15.775819,15.818259,15.845174,15.866762,15.9279585,16.086353,16.368753,16.552824
1.7038503,1.8680425,1.9462963,1.9558266,1.9616518,1.9560605,1.9498773,1.939747,1.9287777,1.9159802,1.911656,1.9045719
-22.39323,-22.546213,-22.519484,-22.46682,-22.45778,-22.42301,-22.390123,-22.362003,-22.437939,-22.263317,-22.158785,-22.11226
-19.119156,-19.03233,-19.001217,-18.978699,-18.978346,-18.970747,-18.88795,-18.74137,-18.649761,-18.632912,-18.650518,-18.676933
-7.6057615,-7.475557,-7.3918796,-7.2467866,-7.0412045,-6.960999,-6.9387755,-6.9371157,-6.9506893,-6.9740934,-6.945609,-6.930777
-7.1572685,-6.984604,-6.8863454,-6.8426228,-6.8358083,-6.8527946,-6.8133273,-6.741482,-6.7247,-6.7274446,-6.7227225,-6.7181616
-9.180895,-9.15369,-9.15325,-9.1591015,-9.16745,-9.177997,-9.181805,-9.200204,-9.204369,-9.210864,-9.216503,-9.226791
-12.221643,-12.091761,-12.0227375,-11.951199,-11.884211,-11.847172,-11.769292,-11.636659,-11.533263,-11.4658165,-11.433705,-11.4301605
-6.0398016,-6.1357718,-6.1096854,-6.1377153,-6.101484,-6.192977,-6.1157684,-6.0352354,-5.973723,-5.876892,-5.8138456,-5.7358594
-34.464516,-34.270443,-34.033176,-33.846554,-33.77266,-33.740177,-33.705315,-33.615986,-33.41387,-33.296192,-33.287643,-33.29795
-24.933355,-24.795872,-24.691202,-24.653805,-24.575947,-24.483181,-24.402256,-24.259626,-24.157013,-24.104084,-24.098152,-24.06539
-35.05852,-35.010098,-34.979855,-34.917843,-34.8864,-34.867928,-34.860012,-34.8723,-34.871624,-34.87303,-34.856335,-34.8494
-36.104744,-36.128353,-36.124405,-36.107315,-36.01811,-35.871284,-35.80832,-35.718544,-35.56342,-35.423462,-35.356586,-35.331207
-48.50409,-48.622086,-48.561333,-48.539326,-48.48857,-48.491825,-48.529747,-48.480995,-48.44165,-48.463276,-48.381,-48.26024
-50.548553,-50.205387,-49.95532,-49.76905,-49.5417,-49.24773,-49.036293,-48.883175,-48.78355,-48.72663,-48.765186,-48.76587
-5.4562297,-5.395981,-5.378828,-5.2753325,-5.156921,-5.1173773,-5.099684,-5.0944767,-5.1037564,-5.108968,-5.127759,-5.145567
-41.875393,-41.45388,-41.22048,-41.077415,-40.905617,-40.80372,-40.65874,-40.387486,-40.254192,-40.283947,-40.231476,-40.31915
-47.780457,-47.717415,-47.687054,-47.607174,-47.53728,-47.462852,-47.433075,-47.430508,-47.431896,-47.420376,-47.45343,-47.454243
-38.361156,-38.365482,-38.32606,-38.30401,-38.24473,-38.178535,-38.151234,-38.138042,-38.113663,-38.135307,-38.15043,-38.16487
-37.026196,-37.12868,-37.10079,-37.103313,-37.129677,-37.130512,-37.11088,-37.02822,-36.989964,-36.938297,-36.896984,-36.854755
-39.84611,-39.858982,-39.86343,-39.87717,-39.880047,-39.88806,-39.8905,-39.903316,-39.902702,-39.91487,-39.91831,-39.92044
